Hindi	Telugu	Similarity_Score
वह तुमहें पसंद करती है .	ఆమె కు నీ పె న ఆ స కతి ఉంది .	0.4964
पै निक	పా నిక	0.4095
ऊपर तक जाओ गे तो पै र ों से बाद लों को ठ ो कर लग सकती है ?	మన క ాలి వే లు మ బ బు లకు త గు లు తుంది అని అనే ది గురతు ందా ?	0.6384
हमारी बा री आ गई ?	మా వం తు వచచి ందా ?	0.4829
यह लो .	ఇది గో .	0.3359
सर दि यों में , वे पा इ प ों में घु स जाते ,	శ ీ తా కాల ం వ సతే , అవి పె పు లలో కి దూ రే వి ,	0.6458
उनहें कैसे पता कि वह च म गा द ड ों से डर ता था ?	గ బ బి ల ాల ంటే అతనికి భయ మని జ డ జీ ల కె లా తెలుసు ?	0.6274
उप जाने वाले घर के पास .	అతని గం జా యి గ ృ హం దగగర .	0.4901
और फिर दु र घट ना का सवा ँ ग र चा .	ఆ తరువాత పరమా ద ంగా చూపి ంచా డు .	0.5358
कुछ न ज दी की बढ ी ?	కా సత దగగర య యా వా ?	0.4959
वहाँ पहुँच कर उनहें पता चला	వాళళ కకడికి వెళళ ా క , అ పపటి కే	0.4657
वह जानती है हमें कुछ नहीं पता .	మనకు ఏం తెలియ దని ఆమె కు తెలుసు .	0.5430
तुमहें सि गरे ट से भी न फ रत है ?	నీకు సి గ రె టలు కూడా ఇషటం లేదా ?	0.6062
मैंने अपनी टि कट देख ी ,	నా టి కె ట వెపు చూశా ను ,	0.5173
और कह ने को कुछ नहीं बचा .	ఇంకా చెపపే ందుకు ఏం లేదు .	0.4735
डॉज के लिए है ?	ఇది డా డజ కోసం ?	0.4732
रो डियो .	రో డి యో .	0.3038
नै ट ली .	నా ట లీ .	0.5397
नै शन ल हा ई सक ूल रो डियो ए सो स िए शन ए ंड र यू डॉज मे सन	జా తీ య హె స కూ ల రో డి యో అస ో సి యే షన ఆ ండ రూ డా డజ మే స న	0.6812
आप पुलिस वाली हैं . खुद पता कीजिए .	మీరు పోలీసు లు . మీ రే తెలుసు కో ండి .	0.5314
शे रि फ आया था .	ష ె రీ ఫ వచచా డు .	0.5280
पर वे दो स ती ही नहीं करना चाहते , है न ?	అది వారు కో రు కునన ది సనే హ మ యి తే నే , కదా ?	0.6118
- उसने फोन लॉ क नहीं किया ? - मेरे पास पास वर ड था .	- తన ఫోన లా క చేసుకో లేదా ? - నా దగగర పా స కో డ ఉంది .	0.6460
जब मैंने फोन ख री दा , तो हमारे बीच यह त य हुआ था .	నేను తన కు ఫోన కొ ని చచి నపపుడు అది మా మధయ ఒ పప ంద ం .	0.6298
मैं उसे कम रे में बंद कर दे ती ,	తన ను గ ది లో తా ళ ం వే సు ండ ే దానని ,	0.5764
ए ंड र यू डॉज मे सन .	ఆ ండ రూ డా డజ మే స న .	0.6306
तै या री के लिए काफी समय है .	అయి నా పర ణ ా ళ ి కకు సమయం ఉంది .	0.5710
ह री के न हार वी ने हमें पूरी तरह त बा ह कर दिया .	హా ర వే తు ఫా ను లో మా దంతా తు డి చి పెటటు కు పోయింది .	0.5878
वह कहीं च ढ ने की कोशिश कर रही थी ,	తను ఎ త తె న పర దే శా నికి వెళ ు తు ండ గా ,	0.5707
अस पता ल के बिल .	ఆ సు ప త రి బి లలు .	0.5672
ठीक है .	మంచిది .	0.4320
