हेदर?	హేథర!
हेदर!	హేథర!
हेदर?	హేథర!
हेदर!	హేథర!
हेदर!	హేథర!
पैनिक	పానిక
हेदर?	హేథర?
मुझे पता है.	నాకు తెలుసు.
नैटली ने जब तुमहें ढूँढ निकाला, उसके कुछ ही मिनट बाद दूसरा माला गिर गया.	నాటలీ నినను కనుగొనన కొనని నిమిషాలకే, మొతతం రెండో అంతసతు కుపపకూలిపోయింది.
वहाँ पारटी रखने का विचार किसका था?	అది అకకడ చేసుకోవాలననది ఎవరి ఆలోచన?
नैटली. . .	నాటలీ. . .
इसलिए जेल नहीं जाना पडा.	అందుకే అతను జెలులో లేడు.
तो लोगों से दोसती तो होगी.	కౌంటీ షెరీఫగా సేవ చేయలేడు.
डीए चाहते हैं किसी को बिल की मौत का कसूरवार ठहराऊँ.	లిటిల బిల చావుకు, డీఏ ఎవరిపెనెనా నేరం మోపమంటుననారు.
अगर वह जानता हो तो?	అతనికి తెలిసి ఉంటే?
-एकाउंटिंग है, और. . . -एकाउंटिंग?	-అది అకౌంటింగ ఇంకా. . . -అకౌంటింగ?
पता नहीं, वो झूठ-मूठ की होती हैं, और. . .	నాకు తెలియదు, అవి సృషటించబడడవి, ఇంకా. . .
असल दुनिया में,	వాసతవ పరపంచంలో,
अपनी खुद की वासतविकता बनाओ, बेटा.	నీ వాసతవం నువవు సృషటించుకోవాలమమా.
तुमहें वे जूते पसंद हैं.	నీకు ఆ సనీకరస అంటే ఇషటం.
वह खुद छोटा लगता है.	వాడు మాటలాడేది చెతత.
उसके पास जिमी का मुकाबला करने लायक अंक थे.	జిమమీతో పోటీ పడేందుకు సరిపడ పాయింటలుననాయి.
पूछताछ करने जा रही हूँ.	నేనెళళి ఆమెను పరశనిసతా.
अजीब है कि संभावना की बात कर रहे हो.	అవకాశాల గురించి నువవు మాటలాడడం వింత.
हेदर.	హేథర.
वहाँ देखो.	అకకడ చూడు.
पहाडी पर.	కొండ మీద.
सोचा इसे रखने के लिए कोई जगह ढूँढ सकूँ.	దీనికి లోపల చోటు చూపించాలని అనుకుననాను.
कया आप कहीं भी, सिरफ यह पहनेंगी?	నువవు ఎకకడికెనా అదే వేసుకుంటావా?
डेमियन -. 50 हेदर -. 85	డామియన -. 50 హేథర -. 85
और उनकी कहानियाँ सुनाया करते.	ఆమె గురించి కథలుగా చెపపేవారు.
मुझे बडा होता देख उनहें कितना गरव होता.	నేను పెరుగుతుంటే ఎంతో గరవంగా భావించేది.
वह अभी भी जिंदा हैं?	ఆమె ఇంకా బతికే ఉందా?
डेना.	డేనా.
उसके पीछे कोई वजह नहीं थी.	అంటే, అందుకు ఏ కారణం లేదు.
. . . एकदम बीच में से.	. . . సరిగగా మధయనుండి.
पहली दुरघटना!	మొదటి పరమాదం!
हारने के लिए तैयार हो जाओ, डॉज.	ఓడిపోడానికి సిదధంగా ఉండు, డాడజ.
शो काफी अचछा था.	అది మంచి పరదరశన.
कया?	ఏది?
-चुप रहो. -एक बार 12 यूटी बिरादरी वालों को हराया था.	-నోరుమూసుకో. -ఒకేసారి 12 యూటీ సభయులందరినీ ఓడించింది.
कल मैं सटेशन पर काम कर रही थी.	నినన షెరీఫ సటేషనలో పని చేశాను.
यह भी कि उनहोंने उसे तुमहारे फोन के रिकारड दिए.	అతనికి నీ ఫోన రికారడులు ఇచచానని చెపపడం విననాను.
यह अगली चुनौती है.	ఇది తరువాతి సవాలు.
कयोंकि अगर उनहें हासिल न कर पाए, तो निराशा होगी.	ఎందుకంటే నువవు అది పొందలేకపోతే నిరాశ చెందుతావని.
याद है जिस दिन मैं तुमहारे घर आई थी और लीला वहाँ थी?	గురతుందా, నేను మీ ఇంటికి వచచాను ఇంకా లీలా అకకడ ఉంది?
पारकिंग में देखा था.	పారకింగ దగగర చూశాను.
पर तुमने कहा कि फरक नहीं पडता.	కానీ నువవు నీకు అనవసరం అననావు.
-ए, वहाँ हाथ मत लगाना. -इसे बंद करो.	-హే, దానికి దూరంగా ఉండు. -అది మూసేయ.
अचछा. सुनो.	సరే. ఇదిగో.
नहीं.	వదదు.
नैटली, समय हो गया है.	నాటలీ, సమయం అవుతుంది.
ठीक है.	మంచిది.
हम हमेशा मजाक किया करते कि हाथ में साँड की लगाम लेकर ही मरेंगे.	మేము ఎపపుడూ ఆయన చేతిలో ఎదదు తాడుతో చనిపోతారు అని నవవుకునే వాళళం.
इसलिए पुलिस को पकका नहीं पता कि उसकी मौत का कारण आग थी.	అందుకని మంటల వలన అతను చనిపోయాడని పోలీసులు ఖచచితంగా లేరు.
उसने कहा लिटल बिल के पिता ने नौकरी में उनकी काफी मदद की.	అతను ఆఫీసులో చేరడానికి లిటిల బిల నానన సహాయం చేశాడననాడు.
हाँ, हमें और कुरसियों के लिए, हाई सकूल तक जाना पडा था.	ఆ, హె సకూల నుండి ఇంకొనని కురచీలు తీసుకురావాలసి వచచింది.
झूठ बोल रहे हों या नहीं, साबित नहीं होता तो बेकार है.	రుజువు చేయలేకపోతే, అబదధమో కాదో తెలుసుకుని ఉపయోగం లేదు.
मैं पैनिक में बच गया और अब यह बनडाना मिला. यह कया है?	పానిక నుండి బయటపడడాను, నా దగగర ఉననదలలా రుమాలే. ఇదేంటి?
ऐसी माँ हो तो अचछा है, बजाय उस माँ के जो हमें छोड गई.	మనలని వదిలేసిన అమమ కంటే అలాంటి అమమ ఉండడం చాలా ఉతతమం.
हेदर, मेरे पापा आए हैं और तुमसे बात करना चाहते हैं.	హేథర, మా నానన వచచారు, నీతో మాటలాడాలని అనుకుంటుననారు.
मैं तुमहें बताना चाहता था कि बात असल में वह नहीं.	అది కనిపించినటటు కాదని నువవు తెలుసుకోవాలనుకుననాను.
मेरा तो यही मंतर है कि टीम पर पैसा लगाकर दुआ करो.	ఒక జటటుపె డబబు పెటటి, పరారథిసతాను, అంతే చేసతాను.
कयोंकि मैंने जो हासिल किया, तुमहारे लिए किया.	నాకు ఎపపటికీ అంత అవమానం తీసుకురావని చెపపాను.
-यह तो बस. . . -मुझे कुछ नहीं कहना चाहिए था.	-అది కేవలం. . . -నేను ఏమీ అనకుండా ఉండాలసింది.
हेदर से मिलो तो बता देना. उसे टिकट लेना होगा.	హేథర కనిపిసతే చెపపండి. తను టికెట తీసుకోవాలి.
डरबी के बाद, धयान से साइकिल चलाकर घर लौटना.	రేసు తరువాత నీ సెకిల మీద జాగరతతగా ఇంటికి రా.
आखिर में गाडी नंबर बारह और चौदह ही बची हैं,	ఇంకా నడుసతునన చివరి రెండు కారలు 12 మరియు 14,
नहीं, तुमहें कॉलेज लिए पैनिक की जरूरत नहीं.	నీకు కాలేజీకి వెళళడానికి పానిక అవసరం లేదు.
आज रात की चुनौती अंतिम चार का निरणय करेगी.	ఆ రాతరి సవాలు చివరి నలుగురిని నిరణయిసతుంది.
कॉलेज जाने के लिए पैनिक खेलना जरूरी नहीं.	నీకు కాలేజీకి వెళళడానికి పానిక అవసరం లేదు.
नहीं. तुमने कुछ गलत नहीं किया. यह तो. . .	లేదు. నువవు తపపుగా ఏం మాటలాడలేదు. అది. . .
आग लगने से पहले, टायलर को उसकी लाश मिली.	మంటలకు ముందు టెలర అతని శవానని కనుగొననాడు.
बो के साथ कुछ हुआ है, पर वह बता नहीं रही.	బోతో ఏదో జరిగింది, అది ఏంటో చెపపడం లేదు.
बचपन में जब मुझे अपनी माँ की याद आती थी,	నా చిననతనంలోనే నేను మా అమమను కోలపోయాను,
और हम खिलाडियों को करीब से देख पाते हैं.	మేము ఆటగాళళకు దగగరవడానికి సహాయపడుతుంది.
उसकी दुरघटना कोई दुरघटना नहीं थी, है न?	ఆమెకు జరిగిన పరమాదం, పరమాదం కాదు, కదా?
वह खिलाडियों की नहीं, संभावनाओं की है.	అది ఆటగాళళది కాదు, అది అంచనాల జాబితా.
हम एक-दूसरे के काफी करीब आ चुके हैं.	ఎవరెనా ఎంత దగగర కాగలరో అంత దగగరయయాము.
हम चुनौती को बीच में ही छोड सकते थे.	మేము సవాలును పూరతిగా తపపించేసే వాళళం.
-हाँ. -मैं सौदे की तलाश में रहता हूँ.	-అవును. -ఎపపుడూ డీల కోసం చూసతుంటాను.
मिसेज कोरटेज, आप कुछ लेना चाहेंगी?	మిసెస కోరటెజ, ఏమెనా తీసుకురమమంటారా?
-इनहोंने तुमहें कयों पकडा? -इस बार?	-నినను ఎందుకు లోపల వేశారు? -ఈసారా?
उसी से पूछना. मेरी समझ से बाहर है.	అతనినే అడుగు. అది నాకు అరథం కాదు.
-भाला मुकाबला तो होता है न? -कया?	-ఎపపుడూ యోధుడు ఉంటాడు, కదా? -ఏంటి?
अभी के लिए, वे अंकों के अलावा हैं.	ఇపపటికి, వారికి పాయింటలే కాకుండా.
और आगे कोई दूसरा खेल नहीं होगा.	రూపొందించకూడదని నిరణయించుకుననాం.
कुछ, हाँ. कुछ मेरे पिता के हैं.	కొనని, అవును. కొనని మా నాననవి.
ऐसा कोई जो उस रात हमारे साथ था.	ఆ రాతరి మనతో ఉనన వాళళలలో ఎవరో.
इस सब की सजा मुझे भुगतनी चाहिए.	దీనంతటికీ చెలలించాలసింది నేను.
-माफ करना. यह. . . -नहीं, मुझे कुछ कहना ही नहीं चाहिए था.	-ననను కషమించు. అది. . . -లేదు, నేను ఏమీ అనకుండా ఉండాలసింది.
उसने कहा कि हम छोटे लोग हैं.	మనం టరెలరలో ఉండే చెతత అననాడు.
अगर मैं कैलिफोरनिया जा पाती,	నేను కాలిఫోరనియాకు వెళళగలిగి,
मैडम, जरा मुझसे बाहर मिलिए.	మేడం, ఒకక నిమిషం బయటకు రండి.
याद है हंट ने कहा था कि कोल खेल छोडकर शहर से भाग गया था,	కోల ఎలా ఆటనుండి వెదొలిగి, పారిపోయి ఆనలెనలో ఒక అమమాయిని
अब हम दोनो ही बचे हैं, दोसत.	నువవూ నేనే అనుకుంటా, కౌబాయ.
तुमहें चोट नहीं लगनी चाहिए थी. हमें यह छोड देना चाहिए.	నువవూ గాయపడడం మన పరణాళిక కాదు. మనం ఇది ఆడడం ఆపేయాలి.
मुझे तुम पर बहुत नाज है कि तुम कॉलेज शुरू कर रही हो.	నువవు కాలేజీ చదువు పరారంభించడం, నాకు చాలా గరవంగా ఉంది.
अब बस चार गाडियाँ बची हैं.	ఇంకా నాలుగు కారలే మిగిలాయి.
अंकों के अलावा. यह कोड है.	పాయింటలు కాకుండా. అది సూచన.
मुझे छातरालय में रहना है.	నాకు వసతి గృహం కావాలనుంది.
अगर तुम जीते तो कया करोगे?	నువవు గెలిసతే ఏం చేసతావు?
मुझे ढंग के कॉलेज में भरती होना है, और मुझे. . .	నాకు నిజమెన కాలేజీకి దరఖాసతు చేసుకోవాలని ఉంది. . .
-हैलो, लडकियो. -कैसी हो?	-హలో, లేడీస. -ఎలా ఉననారు?
और मैंने उससे कसम ली थी कि वह किसी से नहीं कहेगा.	అతనని ఆ విషయం ఎవరికీ చెపపవదదని మాట తీసుకుననాను.
-मैंने उससे वादा किया और मैं. . . -अचछा. तुमहें मुझे बताने की जरूरत नहीं.	-నేను తనకు మాట ఇచచాను, ఇంకా నేను. . . -సరే. నువవు నాకు చెపపనవసరం లేదు.
मेरी किसमत अचछी नहीं थी.	అది నిజంగా అదృషటం కాదు.
-शेरी? -नहीं, सब ठीक है.	-షెరీ? -లేదు, పరవాలేదు.
सब ठीक हो जाएगा, ठीक है?	అంతా బాగవుతుంది, సరేనా?
अगर वे आखिर तक न जाएँ.	వాళళు మొతతం ఆడనంత వరకూ.
तुमहारे पिता की मदद से.	తనని మీ నానన రానిచచారు
हेदर, डॉकटरों ने कहा तुमहारी जान जा सकती थी.	హేథర, చనిపోయి ఉండేదానివని డాకటరలు చెపపారు.
वे हमेशा यही कहते हैं.	వాళళు అలాగే చెబుతారు.
