पैनिक	పానిక
टेकसस में कोई मुझसे पयार करता है	టెకసాసలో ఎవరో ననను పరేమిసతుననారు
वह किसी चीज से डर गया.	ఏదో అతనిని భయపెటటింది.
लैंगली! विलियमस.	లాంగలీ! విలియమస.
हमें जिमी और ऐबी के लिए पतते बनाने हैं.	జిమమీ, ఆబీల కోసం ఆకులు తయారు చేసతుననాం.
इसे एक रोमांच समझो, ठीक है?	దీనని సాహసంలా అనుకో, సరేనా?
अपनी पतनी को भी हैलो कह दो.	మీ భారయకు కూడా హాయ చెపపండి.
तुमसे मिलकर अचछा लगता है, शेरी. मुसीबत से बचकर रहना.	ఎపపుడూ నినను కలవడం బాగుంటుంది, షెరీ. ఇబబందులలో పడకు.
लिली को मेरी जरूरत थी.	లిలలీకి నా అవసరం ఉంది.
पिछले साल जो हुआ, उससे उबरने के लिए.	గత ఏడాది జరిగిన దానికి కోలుకోడానికి.
एक बात कहूँ?	ఏంటో తెలుసా?
बोला कि वह हरीकेन हारवी के दौरान हुआ.	అది హారవీ తుఫానులో జరిగిందని చెపపాడు.
नहीं पता चलेगा.	అతనికి తెలియదు.
चुनौती से पहले उसे इसतेमाल करना होगा.	అది సవాలు మొదలు కాకముందు ఉపయోగించాలి.
जिस बात का जवाब मुझे पता है, वह जजों से नहीं पूछूँगा.	నాకు ముందే సమాధానం తెలిసాక, నేను నయాయనిరణేతలను అడగను.
हेदर.	హేథర.
परचार चल रहा है. एक खरीदो तो एक मुफत पाओ.	డిసకౌంట నడుసతుంది. ఒకటి కొంటే ఒకటి ఉచితం.
किससे मिलने वाली हूँ?	నేను ఏం చూడాలి, మళళీ?
टॉम.	టామ.
उनसे बचकर नहीं भाग सकते.	వాటి నుండి పరిగెతతకూడదు.
डिगिनस सच में यहाँ रहता है?	డిగగినస నిజంగా ఇకకడ ఉంటాడా?
-हम भी यहीं रहेंगे? -सो जाओ. अभी.	-మనం కూడా ఉంటామా? -పడుకో. ఇపపుడు.
-गुड नाइट. -गुड नाइट.	-శుభరాతరి. -శుభరాతరి.
पर अब आपको कहीं और जाकर अपना काम करना चाहिए.	కానీ ఇది మీరు మరెకకడెనా నిరవరతించాలసిన సమయం.
पर बाप रे.	కానీ అబబా.
-बात तय रही. -डॉज के दोसत हो. . .	-ఇది ఒపపందం. -డాడజ సనేహితుడు. . .
हाँ.	సరే.
आप लोगों को कहीं और जाना है?	మీరు ఇంకా ఎకకడికెనా వెళళాలా?
कयों पूछ रहे हैं?	ఇది దేని గురించి?
जॉन.	జాన.
उसने तुमहें कयों बताया?	తను నీకెందుకు చెపపింది?
तुमने कयों नहीं बताया?	నువవు ఎందుకు చెపపలేదు?
फरक नहीं पडता. मैंने. . .	అది ముఖయం కాదు. నేను. . .
मैंने पढाई छोड दी.	సకూల మానేసతుననాను.
एक बात कहूँ?	ఏంటో తెలుసా?
डंडियों जैसी जाँघ,	పులలలలాంటి కాళళతో,
हाँ, बहुत बुरा हुआ.	అవును, చాలా దారుణం.
हाँ, वह तो. . .	అవును, అది. . .
उसे बलैकमेल करके खेल से निकालने की चाल किसकी थी?	ఆమెను ఆట నుండి తొలిగిపోయేలా బెదిరించాలననది ఎవరు?
रे?	రే?
रे?	రే?
या कानूनी फीस पर बहा सकता था.	లేదా లీగల ఫీజులను కటటుకోవాలి.
लौटता है जब दो खिलाडी असामानय रूप से मरते हैं?	అదీ ఇదదరు లీడలో ఉనన ఆటగాళలు పరమాదంలో చనిపోయాక?
मैंने कहा कि हमें मोटे वाले पसंद हैं.	నేను మనకు మందంవి మాతరమే నచచుతాయననాను.
तुम किस दलदल में फँसे हो? सैरा ने कहा कि पुलिस तुमहारे पीछे है?	వీళళతో ఎంత లోతు దిగావు? సారా చెపపింది నీకె పోలీసులు చూసతుననారా?
न ही तुमहें, और इसके पीछे एक ठोस वजह है.	నీకూ తెలియదు, అందుకు ఒక సరెన కారణం ఉంది.
उसकी माँ रे के पिता के साथ फँस गई थी, जेल से निकाल दी गई.	ఆమె తలలి రే వాళళ నాననతో పటటుబడటంతో జెలు నుండి తొలగించారు.
मैंने सोचा कि टेकसस की सबसे खूबसूरत लडकी को एक बार देखता चलूँ.	టెకసాసలోకెలలా అందమెన అమమాయిని సవయంగా వచచి చూడాలని అనుకుననాను.
और वह जो किताब तैयार कर रहा था, और हम जो शरतें लगा सकते थे.	పందేల రికారడు ఇంకా మేము వేయగల పందేల గురించి చెపపింది అపపుడే.
मैं सोच रही थी कि कया पतझड में कुछ और घंटे काम कर सकती हूँ,	శిశిరంలో నాకు ఇంకా అదనపు పని గంటలు ఇసతారేమో అనుకుంటుననాను,
तीन साल पहले हैलोवीन पर हुआ. अभी भी नयाय के इंतजार में है.	అది మూడేళళ కరితం హాలోవీనలో జరిగింది. నయాయం కోసం చూసతుంది.
अजञात - खेल ने अभी तक तुमहारा पीछा नहीं छोडा. जलद मिलेंगे.	గురతించనివారు - నీతో ఆట ఇంకా ముగియలేదు. తవరలోనే కలుదదాము.
यह भी बताया कि डेना की यह हालत किसी गाडी दुरघटना में हुई.	డేనాను ఢీ కొటటి వెళళిపోతే పకషవాతం వచచినటటు ఆమె చెపపింది.
-ढेर सारी किताबें पढोगी? -देखो कितनी अचछी किताबें हैं.	-చాలా పుసతకాలు చదువుతావా? -అవును. ఈ మంచి పుసతకాలు చూడు.
आखिरी बार जब उसकी माँ ने उसे देखा, वह डरबी जा रहा था.	వాళళమమ అతనని చివరిసారిగా చూసింది, డరబీకు వెళుతుండగానే.
जब उसके घुटने में चोट लगी, तो एक महीने की दवा दी गई.	ఆమె తన మోకాలికి గాయమయితే 30 రోజులకు మందులు వేసుకుంది.
कुछ नहीं. यही कि खेल के चलते बुरी तरह फँस गया था.	ఏమీ లేదు. ఆ ఆట వలన తను చాలా నషటపోయినటటు చెపపాడు.
-शायद उसका बुरा हाल था. . . -पिछली गरमियों से?	-అతను ఇబబందులలో ఉననాడు గత. . . -గత వేసవి నుండా?
जिमी और ऐबी, दोनो की मौत का खेल से संबंध है,	జిమమీ, ఆబీల ఇదదరి మరణాలకు ఈ ఆటతో సంబంధం ఉంది,
जो अजञात है, अगर वह नुकसान नहीं पहुँचा सकता,	మీకు తెలియనివి మిమమలని ఏనాటికి బాధించకపోతే,
पर बैठक में उसके अंतिम रोडियो की एक टरॉफी है	కానీ వాళళ ముందు గదిలో ఉనన ఆమె గెలిచిన టరోఫీ
तुमहारे अपहरण की चेतावनी देने वाला हूँ. . .	నేను ఇపపుడే ఆంబర అలరటలో పెడదామనుకుననాను. . .
डारबी में लूक और हंट में कया बात हो रही थी?	డరబీ దగగర లూక ఇంకా హంట ఏం మాటలాడుకుంటుననారు?
नहीं. कया पता, वह शायद कलीवलैंड में ही हो.	లేదు. అతను కలీవలాండలో ఉండవచచు, అంతే తెలుసు.
नहीं, देखना पडेगा. पता है हंट केनी कहाँ है?	లేదు, అది ఆధారపడి ఉంటుంది. హంట కెననీ ఎకకడ?
एक मैं ही हूँ जो डेना के बारे जानती हूँ.	డేనా గురించి తెలిసింది కేవలం నాకు మాతరమే.
मैं एक परतियोगी थी, और तुम एक खुफिया जज.	నేను ఆడేదానని, నువవు రహసయ నయాయనిరణేతవు.
अगर तुम जज लोगों से समझौता करते हो. . .	నయాయనిరణేతలతో ఒపపందం కుదురచుకుంటే. . .
तो, वह चाहता था तुम पैनिक पर शरत लगाओ?	అతను మిమమలని పానిక మీద పందెం వేయమననాడా?
जब इसे लिया था, तब सिरफ नौ किलो का था.	అది ఇకకడకు వచచినపపుడు 20 పౌండలే ఉంది.
रुको, तुम यह रिकारड तो नहीं कर रहे न?	ఆగు, మీరు ఇది రికారడు చేయడం లేదు కాదా?
सकूल में, हफते में 20 घंटे काम करती,	హె సకూలలో వారానికి 20 గంటలు పని చేశా,
तुमने जज लोगों को कोई और बात बताई?	నువవు నయాయనిరణేతలకు ఇంకేం చెపపలేదా?
उसने बताया कि उसका बॉयफरेंड हर हफते	ఆమె తన పరియుడు పరతి వారం వంద డాలరల
नहीं चाहती थी कि मेरे लिए बुरा लगे.	నీకు నాపె సానుభూతి ఉండకూడదనుకుననా.
कयोंकि यह बात डेना को बतानी चाहिए.	ఎందుకంటే అది చెపపడానికి డేనా విషయం.
उसे कुछ नहीं पता कि कया कह रही है.	ఆమె తనేం మాటలాడుతుందో తనకు తెలియదు.
-आओ, चलो. -आप इसे कैसे जानती हैं?	-రా, నడువు. -మీకు అతను ఎలా తెలుసు?
यह अजीब नहीं लगता कि उसी गरमी में	అతను వేసవిలో రావడం విచితరంగా లేదా,
ठीक है? मेरे लिए मुसीबत हो जाएगी.	సరేనా? నేను చాలా సమసయలలో పడతాను.
डॉज ने बताया कि तुम कहीं दूर हो,	డాడజ నువవు ఎకకడినుండో వచచావననాడు,
तुम मुझे यह कयों नहीं बता पाए?	అది నాకు నువవు ఎందుకు చెపపలేదు?
समय के आधार पर अंक दिए जाएँगे.	సమయం ఆధారంగా పాయింటలు ఇసతారు.
मुझे लगता है यह एक परीकषा है.	ఇదంతా పరీకష అని అనుకుంటుననాను.
"तुमहारी, लीला. " नैटली के साथ किसी लीला ने गरेजुएशन की थी.	"సదా నీదెన, లీలా. " నాటలీ లీలాతో పాటు గరాడయుయేషన చేసింది.
मुझे लगा उनकी लडाई हो जाएगी.	వాళళు గొడవపడతారని అనుకుననాను.
मुझ पर चिंता छोड दो, ठीक है?	చింతించడం నాకు వదిలేయ, సరేనా?
हमें हेदर के बारे में बताओगे?	నువవు హేథర గురించి చెబుతావా?
कसम से, मैं कुछ नहीं कहूँगी.	పరమాణపూరతిగా నేనేమీ చెపపను.
कि कोरटेज ने मुझे गलत समझा.	కోరటెజ తపపవవడం నిరాశగా ఉంది.
पढाई के बारे में कया करोगी?	నువవు సకూల సంగతి ఏం చేసతావు?
उसे दोष भी तो नहीं दे सकते.	సరే, నువవు తనని తపపుపటటలేవు.
ये तसवीरें तुमने खींची थी न?	నువవే కదా ఈ ఫోటోలు తీసింది?
कानून के मुताबिक, जनमदिन तक तुमहारा खयाल नहीं रख सकती.	నా పుటటిన రోజు వరకు చటటపరంగా నేను నినను చూసుకోకూడదు.
होम अवे मोटर आवास एवं सराय	హోం అవే మోటార లాడజ మరియు ఇన
होम अवे मोटर आवास एवं सराय	హోం అవే మోటార లాడజ మరియు ఇన
अगर डॉज को पता चल गया. . .	ఒకవేళ డాడజకు తెలిసతే. . .
शायद अपनी गरलफरेंड के साथ.	అతని గరలఫరెండతో ఉననాడేమో.
कैंची संभालकर चलाना, इस पर पुलिस का पूरा पहरा है.	ఆ కతతెరలతో జాగరతత, ఆమె పతయరేక పోలీసు సంరకషణలో ఉంది.
बोली कि वह दुरघटना के बारे में बात नहीं करना चाहती.	తనకు పరమాదం గురించి మాటలాడడం ఇషటం లేదని చెపపింది.
तकरीबन एक साल पहले, यह अपने परिवार के साथ यहाँ आई.	ఆమె ఇకకడికి కుటుంబంతో కలిసి ఏడాది కరితం వచచింది.
उसने तुमहें और कया बताया?	అతను నీకు ఇంకేం చెపపాడు?
सुनो, बचकर रहना, ठीक है?	విను, సమసయలో పడకు, సరేనా?
उसका इंतजार करना चाहो तो, एक मिनट में आता होगा.	నువవు అతనికోసం వేచి ఉంటానంటే, ఒక నిమిషంలో వసతాడు.
मैं तुमहें बता चुकी हूँ.	నేను ఇదివరకే చెపపానుగా.
